id_cliente,nombre,apellido,edad,antiguedad_laboral,ingresos_anuales,puntaje_credito,monto_prestamo,proposito_prestamo,estado_pago
10001,Paola,Vargas,42,8,34941431,438,17017931,Vivienda,Pagado
10002,Natalia,Bermúdez,36,6,30216617,472,15824222,Personal,Pagado
10003,Héctor,Gutiérrez,44,9,30117400,517,16192617,Negocio,Pagado
10004,Miguel,Torres,53,16,45897921,588,12908852,Educacion,Pagado
10005,María,Flores,35,10,22349586,580,9540818,Coche,Pagado
10006,Paola,Castro,35,4,24129078,562,16833398,Personal,Pagado
10007,Felipe,Reyes,53,19,34204560,509,12430635,Educacion,No Pagado
10008,Laura,Rojas,45,9,43193132,538,8453965,Coche,Pagado
10009,Luis,Castillo,33,3,24642252,524,9318501,Coche,No Pagado
10010,Luis,Vargas,43,13,46634420,541,17577309,Coche,Pagado
10011,Carolina,Aguilar,33,8,31814749,508,8628200,Negocio,Pagado
10012,Alejandra,Castillo,33,8,30040491,427,12173228,Personal,No Pagado
10013,Mariana,Ramos,40,5,27868861,475,12471467,Personal,Pagado
10014,Carolina,Morales,22,0,12768249,464,4409002,Educacion,No Pagado
10015,Andrés,Ramos,22,2,21414857,320,8181999,Personal,No Pagado
10016,Ana,Gómez,32,5,25642429,553,16828719,Negocio,No Pagado
10017,Juan,Rodríguez,27,0,14303648,424,10730482,Personal,Pagado
10018,Carolina,Castillo,41,11,26215707,578,14602178,Educacion,Pagado
10019,Sofía,Guerrero,28,1,17206481,536,1686799,Educacion,Pagado
10020,Gabriela,Rodríguez,23,6,30104836,467,6800735,Coche,Pagado
10021,Juan,Vargas,52,20,55066389,637,34720729,Coche,Pagado
10022,María,Díaz,35,8,30024945,568,10396884,Personal,Pagado
10023,Marcela,López,38,12,33144713,519,22063643,Personal,No Pagado
10024,Fernando,Reyes,23,1,17318398,467,7928233,Educacion,No Pagado
10025,Ana,Gómez,32,7,22127573,576,15892855,Educacion,No Pagado
10026,Valentina,López,39,13,40275895,555,6701380,Personal,Pagado
10027,Andrea,Martínez,26,3,30967881,562,10218969,Educacion,No Pagado
10028,Camila,Rivera,41,9,28532904,410,16027339,Vivienda,Pagado
